name,Selection,Bowl,Favorite,Underdog,Confidence_Score
JRoycroft,Wash. State,Alamo,Wash. State,Iowa State,31
JRoycroft,Nevada,Arizona,Arkansas St.,Nevada,12
JRoycroft,Army,Armed Forces,Army,Houston,25
JRoycroft,Toledo,Bahamas,Toledo,FIU,26
JRoycroft,South Carolina,Belk,South Carolina,Virginia,30
JRoycroft,Wake Forest,Birmingham,Memphis,Wake Forest,7
JRoycroft,N. Illinois,Boca Raton,UAB,N. Illinois,3
JRoycroft,Ga. Southern,Camellia,E. Michigan,Ga. Southern,2
JRoycroft,W. Virginia,Camping World,W. Virginia,Syracuse,32
JRoycroft,California,Cheez-It,California,TCU,10
JRoycroft,Penn State,Citrus,Penn State,Kentucky,16
JRoycroft,Clemson,Cotton,Clemson,Notre Dame,38
JRoycroft,Tulane,Cure,Tulane,Louisiana,19
JRoycroft,Troy,Dollar General,Buffalo,Troy,6
JRoycroft,LSU,Fiesta,LSU,UCF,29
JRoycroft,Boston College,First Responder,Boise State,Boston College,8
JRoycroft,Ohio,Frisco,Ohio,San Diego State,18
JRoycroft,S. Florida,Gasparilla,Marshall,S. Florida,4
JRoycroft,La. Tech,Hawaii,Hawaii,La. Tech,5
JRoycroft,Northwestern,Holiday,Utah,Northwestern,28
JRoycroft,BYU,Idaho Potato,BYU,W. Michigan,34
JRoycroft,Duke,Independence,Temple,Duke,17
JRoycroft,Arizona State,Las Vegas,Fresno State,Arizona State,1
JRoycroft,Missouri,Liberty,Missouri,Oklahoma State,36
JRoycroft,Virginia Tech,Military,Cincinnati,Virginia Tech,21
JRoycroft,Auburn,Music City,Auburn,Purdue,24
JRoycroft,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
JRoycroft,Utah State,New Mexico,Utah State,N. Texas,35
JRoycroft,App. State,New Orleans,App. State,MTSU,33
JRoycroft,Alabama,Orange,Alabama,Oklahoma,39
JRoycroft,Iowa,Outback,Mississippi State,Iowa,15
JRoycroft,Michigan,Peach,Michigan,Florida,23
JRoycroft,Miami,Pinstripe,Miami,Wisconsin,11
JRoycroft,Minnesota,Quick Lane,Georgia Tech,Minnesota,9
JRoycroft,Michigan State,Redbox,Michigan State,Oregon,13
JRoycroft,Ohio State,Rose,Ohio State,Washington,20
JRoycroft,Georgia,Sugar,Georgia,Texas,37
JRoycroft,Stanford,Sun,Stanford,Pittsburgh,22
JRoycroft,Texas A&M,Taxslayer,Texas A&M,NC State,14
JRoycroft,Vanderbilt,Texas,Vanderbilt,Baylor,27
